,id,tweet,subtask_a,subtask_b,subtask_c
11630,56786,@USER Execute him!Put him in the gas chamber !What a joke these liberals are !,NOT,,
1620,88979,@USER And Democrats actually commit acts of violence a la antifa,NOT,,
3319,90456,@USER @USER Yep..says the same thing about everyone she hates &amp; warned the Antifa twins not to do that..,NOT,,
6615,57285,@USER @USER he is my ultimate bias..,NOT,,
4348,22450,@USER @USER @USER There are thousands apon thousands of videos on YouTube alone of Antifa attacking people just for being at Trump rallies or Republican events. This is not happening anywhere to Democrats. This is on a widespread scale and people like you try to lie and obfuscate to cover them,OFF,TIN,IND
9160,80496,@USER She is an absolutely beautiful gorgeous woman Inside and Out,NOT,,
12022,67612,@USER But gun control,NOT,,
3189,14928,@USER She is fine,NOT,,
399,51592,@USER John Podesta is a spirit cooking pedo. Here's a photo of him and Valerie Jarrett in a rather compromising situation.  #MAGA #qanon #DrainTheDeepState #DrainTheSwamp URL,OFF,TIN,IND
5779,75151,@USER She doesn’t want to play to other children or adult unless she lives with them. She help everyone in the house whatever task there is to do. She speaks clearly and turning 2 this September. Her excuse always when there’s a guest in the house she is shy. No one influenced her.,NOT,,
5398,28219,@USER Boi I’m trynna feast on that booty... I mean those noodles,NOT,,
8819,34856,"@USER Eminem did gun control"" a machine gun kelly come back""",NOT,,
10875,61688,@USER @USER Conservatives are notoriously gullible. I use wanted to make sure you knew.,NOT,,
8339,21449,#Tories #Labour #GE2017 #Conservatives Conservatives URL 🌟: There are over 3 million more people in work with the security of a regular pay packet since 2010.  See how it's changed in your area ➡️ URL URL,NOT,,
3792,97939,@USER even he is conceding his own spot. URL,NOT,,
2683,92804,@USER he is a psychic ain’t he,NOT,,
11802,84447,@USER Shame on them willing to ruin good man over a 36-year-old groping accusation she can't prove.  They're rabid liberals who don't want a Supreme Court justice who will follow the Constitution.  It's all about politics.  Shame.,OFF,TIN,GRP
10510,86356,@USER How far are you prepared to take this Roger?  I gather that this is a new antifa style ‘Hungerless Hunger Strike’  Would you consider actually not eating anything?,NOT,,
11772,82126,@USER Oh shit stay safe!! !!,NOT,,
8828,22011,@USER Another reason not to root for the Panthers...#MAGA,NOT,,
6764,35572,@USER @USER @USER @USER @USER @USER So you are content to let the government control your life?,NOT,,
6605,30989,@USER I like that... primatives.. PERFECTLY describes the democrats and liberals #MeToo #Resist #Antifa,NOT,,
3173,79023,@USER @USER any gun control is unconstitutional and you leftist fake news traitors keep lying to the people that's why your enemies of the people,OFF,TIN,GRP
5809,77514,@USER To be very honest it’s also wrong to disregard stats. Hazard is an attacker and isn’t pegged with any sort of defensive duties. He is always with the ball (as the main man/his’ style) so if his G+A stats aren’t as good as people expect they have every right to question his rating,NOT,,
11640,62405,@USER @USER Somehow I thought Harambe was gone and now that big ten led silverback is out in a book tour? Wonders never cease,NOT,,
3101,96191,@USER Exactly. She doesn't want to perjure herself since she is being nothing but a paid actress.,NOT,,
9175,65296,@USER Time to vote and spit in the eye of all these liberals,OFF,TIN,GRP
8627,47845,@USER Nobody wants a supergirl movie. The show is shitty enough.,NOT,,
454,81644,@USER You are absolutely right smdh,NOT,,
10027,49770,@USER @USER Picture of #Antifa protest: URL,NOT,,
11933,53807,#Westminster @USER #Tories @USER @USER #Brexit 🇬🇧 @USER #Brexiteers  @USER Exactly why the #UK is getting #OutOfTheEU FFS 😠 #Hungary tries to defend its borders &amp; the #tyrannical #EU #dictatorship stamps down hard 😠 #ThirdReich 😠😠 URL,NOT,,
6531,80716,@USER The facts of the matter are very plain &amp; basic. This has never happened before in recorded history or on other similarly hit islands in the area. The fact it happened on Donald Trump's watch is unsurprising. He did not support them. He is an abject failure and should be dismissed,OFF,TIN,IND
3798,19264,@USER Go away already!,NOT,,
5233,80694,@USER @USER Dr Merck just following orders. Abysmal little pharma troll he is.,OFF,TIN,IND
7419,85750,Trump... an Ive league billionaire and negotiator extraordinaire!! Jan... #Resister !! 🤔 I’ll take Trump!!! #MAGA #Trump2020 URL,NOT,,
12481,24493,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You didn’t read the whole thing most white mass shooters aren’t even considered terrorism because there’s no “political” agenda to their murder like Dylan roof,OFF,TIN,GRP
11282,38576,@USER Ahh yes we are cause some woman who comes out 30 some years later cant be believed.  Where was this liberal outrage when the guy from Minnesota was accused of beating his wife. Silent on that one libs god you hypocritical liberals make me sick,OFF,TIN,GRP
10768,37302,@USER @USER I’ve been complaining about this shit all tournament long. They think people in USA care more about Roger Federer favorite food than they do watching Americans play. It’s such a turnoff that I turn the channel,OFF,UNT,
1640,12477,YES! @USER Where We Go One We Go All 💪🏻 💪🏻💪🏻 #WWG1WGA #TheGreatAwakening #MAGA #GodBlessAmerica #GodBlessHumanity,NOT,,
4497,53044,@USER @USER A Cosby comparison?  30+ vs 1 from hs?  Why u so angry?  Are you one of those antifa activates that doesn’t like getting pepper sprayed?,NOT,,
4673,45258,@USER @USER @USER Over 7 years ....it’s pathetic.,OFF,TIN,IND
9718,60107,@USER Fake News,OFF,UNT,
7997,15488,@USER You should seriously consider that maybe YOU are the one who is always wrong &amp; these people are correct... because you are wrong in your supposition here for most of them 😏,NOT,,
6241,66534,@USER why cant we go 1 day without things being awful.,NOT,,
8769,96932,@USER @USER you are welcome,NOT,,
11311,86824,@USER Bono is a fakir. Always sticking his hand out for someone else’s buck. May it be his concerts. Tax evasion. Lecturing america on Africa. Never has he put his own money up.,OFF,TIN,IND
12653,31207,@USER We need complete and total gun control now. Philly needs to follow in the footsteps as chicago and london. #DemocraticSocialismNow #NoMoreGuns,NOT,,
11128,71883,#brandmatters @USER teams up with #guncontrol group: ‘We simply cannot stand by silently’ URL,NOT,,
416,48263,@USER Can you believe we just had a President with a fake ID?,NOT,,
10721,59086,@USER Excommunicate the guy. That’ll teach ‘Em.,OFF,TIN,IND
7050,73204,@USER @USER @USER @USER @USER Because he is a scummy human being.,OFF,TIN,IND
7606,20399,@USER @USER Ha! I’ve met you both and neither of you are dull! Me on the other hand.....😌,NOT,,
9088,97232,@USER She is a courageous intelligent woman who knows the crap that people will say - she is standing up to some evil and powerful and ruthless men who will stop at nothing to destroy her and her testimony,OFF,UNT,
11526,40098,@USER Holy crap. I didn't realize it was THIS bad. Thanks for posting this...,NOT,,
6628,36854,@USER @USER @USER Seems I just read that somewhere w/the words Liberals in place if trump supporters Plagarism@USER best,NOT,,
7809,26590,@USER Did every other comedian suddenly die?,NOT,,
7486,28625,@USER @USER Such a cool Synchronicity..it def made my day!  Just released a thread w/exactly this concept.  #DeutscheBank connection is undoubtedly the pivot point..&amp; #Mueller has a crack squad of financial forensics experts on his team w/VAST DB $$-laundering knowledge.  Subpoena #Kavanaugh,NOT,,
1129,23182,"@USER Liberals don't care anymore about democracy"". They will burn the country before let trump to govern two more years. Remember that the objective was to throw trump out of power within the first six months.""",NOT,,
240,96270,@USER @USER @USER @USER Antifa = Democrats = Dixiecrats = KKK URL URL,NOT,,
5876,36654,@USER @USER With Democrat's Sociability Quotient it's no wonder Democrats think about Gun Control all the time!,OFF,TIN,GRP
5323,96433,@USER @USER @USER @USER NICELY SAID MR.REDWOOD !!!,NOT,,
7455,46438,@USER ❤ You are beloved! ❤,NOT,,
9272,62103,@USER Oh shit,OFF,TIN,IND
5581,45657,"@USER @USER @USER Those VG/HC stickers I see on trucks--exclusively trucks, never cars--seem like asshole indicators. I can't say for sure because I've never actually spoken to someone who's like Yes, hockey should involve more punching people"" but.... yeah it seems bad""",OFF,TIN,IND
6649,58011,#ExpectUs to work our asses off for #GunSenseCandidates!  @USER #GOTV  #ThrowThemOut  URL,OFF,TIN,GRP
3230,44782,@USER @USER Possive dumb ass?,NOT,,
10925,42402,@USER @USER And yet he is allowed to. Congress is supposed to be a check on this clown. If we get control of Congress you folks have to write some laws to prevent this happening again.,OFF,TIN,IND
7917,67293,GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS! URL,NOT,,
2706,74782,@USER @USER That so many “thoughtful conservatives” who rushed to Kavanaugh’s defense didn’t consider  their own statements re: black teenagers tells you everything about how “thoughtful” they truly are.,NOT,,
11638,71851,@USER You are though,NOT,,
4090,80222,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER So the march is against antifa bigots and labour anti-semitism then? Did I get that right?,NOT,,
4601,71165,@USER @USER @USER @USER @USER @USER That might be a minor factor... But that isn't what they are saying...   #PeoplesVote,NOT,,
526,11692,@USER @USER @USER ok say less im ready whenever he is,NOT,,
2702,76444,@USER @USER Because he was and is!  He is the one who responded so quickly to what we know now was a false flag attack caused by the Deep State!  President Trump couldn't have picked a better lawyer.  They have EVERYTHING!  #QAnon #NeverForget #MAGA,NOT,,
759,97760,@USER When are the Republicans going to learn that Democrats hate conservatives .Vote  Thursday,OFF,TIN,OTH
12918,97218,@USER @USER @USER @USER Given the sheer scale of the numbers I suspect from time to time someone had to look in a pit and say “I recon that’s 450 in that hole”..the point is BIG BAZ they are fucking big numbers clocked up by the far right/left. I’m interested in the initial claim of genocide by Liberals,NOT,,
8840,89532,@USER @USER @USER I assume the UK Conservatives are also massively against early years assessments?,NOT,,
12559,69633,@USER Hey brian tell us about the time you voted with the liberals to take our guns away.  URL,NOT,,
3894,68597,@USER A whole meta joke here would be my original tweet fuckin up the calculations.,OFF,UNT,
5309,18909,@USER @USER Only if Soros says I can!,NOT,,
3695,41636,@USER @USER she is not related to him its weird lmao,NOT,,
426,40857,@USER @USER @USER @USER He’s dead. So you are a necrophiliac as well? Good to know...you must suck at chess never mind 3 dimensional chess...you can’t even think one move ahead let alone many...Change your twitter handle to DumbAF not even ish🙄🙄🙄,OFF,TIN,IND
9140,53569,@USER Agree!,NOT,,
10796,59504,1st cheeto dust cheats to get his position  Then he throws paper towels to American citizens who have just been devestated by a hurrican.  Next he sends no help to the victims of this latest hurricane.  Claims #StopKavanaugh is a great guy  Now he is unclassifying docs he shouldn,NOT,,
12845,17339,"@USER @USER , @USER  asks, How deez taste?""""",NOT,,
3141,11455,@USER He is painter👍😍😍😍😎😎😎👌,NOT,,
8245,58168,@USER @USER @USER @USER @USER That isn’t a bill about LGBT sex workers it’s a bill on sex workers in general.Harris has a very good record as attested by LGBT orgs.I mean if we are playing that game you could argue that Bernie votes on gun control has impacted the lives of black people in Chicago negatively.,OFF,TIN,IND
2679,40698,@USER @USER @USER How dare you for questioning my service in a little thing called the Vietnam War? France surrendered Vietnam to Snowflake Supremo Ho Chi Minh. Liberals JFK and LBJ went in but refused to fight to win. We should go back to Vietnam to finish the fight. Restore the draft?,NOT,,
5676,88751,Reminder that there is nothing fiscally conservative about MAGA. URL,NOT,,
11237,45920,@USER For the hol tl to see😭. That’s tht Big Dick energy 💯,OFF,TIN,IND
120,39907,@USER @USER @USER please don't kill me. antifa on the other hand...,OFF,TIN,IND
3162,11571,@USER McQuaid is wayyyyy too expensive for what he is.,NOT,,
5221,64434,"@USER @USER @USER @USER @USER And is completely unconstitutional. If the state deems you are not a criminal and therefor have not relinquished your right to bear arms, they have no right to regulate who is competent"" or ""skilled"" enough to own one. Once again, it is NOT the same as driving a car.""",NOT,,
13196,71649,@USER Where will #Antifa get their cloths now?,NOT,,
12140,15926,@USER @USER @USER @USER @USER LMAO you are too dumb... forgive my manners but this pile of shiit you just said can give cancer. URL,OFF,TIN,IND
8669,50166,@USER Either way we have your back. Don't be thinking that you are dealing alone out here.,NOT,,
93,75089,@USER OMG HE IS SO EXTRA ILY,NOT,,
3448,39795,@USER @USER omg yeah the thing is that there can be a large range of price for the same item i once bought a bag for RM20+ but i also saw another shop selling it for RM60+ like wow,NOT,,
2913,35033,@USER Man that shit just got me hype like I was watchin it 18 years ago,OFF,UNT,
10241,99456,@USER @USER The last thing parents need to learn from the liberals is the ethics of raising their own child.,NOT,,
10513,90857,@USER @USER how about gun control! That might be the trick.,NOT,,
919,93035,@USER Believe the woman.  What person would volunteer for the shit show she is about to experience if it weren’t true.  I stand in solidarity with Christine Blasey Ford.,OFF,TIN,IND
6122,67259,@USER Us conservatives hope he does.,NOT,,
2184,53436,@USER Amazing how the POPE is afraid of the truth,OFF,TIN,OTH
11343,28359,@USER Radicalism like supporting socialism ?? Like antifa smashing windows and rioting ? Can you be more specific ??,NOT,,
1687,78194,@USER No gun control people can ever explain the logic of any gun law or any weapon restriction. Always just blanket statements for the sheep to follow #2A #CruzCrew #TX #Florida #VoteRedToSaveTexas #VoteRedToSaveFlorida,NOT,,
4462,17149,@USER I couldn’t agree more us conservatives need to take our country back. #MAGA,NOT,,
8829,63117,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER She looks like she is planning a sneak attack 😅,NOT,,
7957,54789,@USER You are such a fucking pu$$y little chinless Donny.,OFF,TIN,IND
433,92935,@USER #oshaeterry #ThugLife #Criminal Behaved as an Ordinary Disposable Criminal. #MAGA #MAGA2020 #MAGARallyRules #TexasPolice,OFF,TIN,IND
6187,72660,@USER @USER You missed seeing Pruitt chewing butt all the way to the end. He's all business. I love it,OFF,TIN,IND
895,98294,Rosenstein’s 300 Attorneys ‘Helped’ Vet Kavanaugh – Now Sexual Abuse Charges URL which go back to his highschool days  and can't be proven &amp; Named witness DENIES  #Pathetic #ConfirmKavanaugh #PJNET #CCOT #maga #KAG2018 #Trump2020 #NoMoreProgressiveLiberals,OFF,TIN,GRP
9805,52432,@USER #Trump gifted the 1% with #GOPTaxScam the biggest wealth grab in modern history URL yet #trump supporter #dopes prefer to vote against their best interests so perhaps you cannot fix stupid!  #MAGA🇺🇸,OFF,TIN,OTH
1571,80699,@USER Here's a link to my channel with a plethora of topics to peruse: URL,NOT,,
2787,42879,@USER @USER He is a failure in every way possible.,OFF,TIN,IND
3566,60779,@USER That was Awesome. I love hearing you destroy the Liberals but most of all Trudeau,OFF,TIN,GRP
11300,53170,@USER @USER Well she's half right... she is shit,OFF,TIN,IND
9033,71500,@USER @USER @USER obama took away the constitution from us and that is a FACT..SANCTUARY STATES takes away OUR guarantied Protection from Invasion...Obamas BLM and ANTIFA that takes away OUR guarantied Protection from DOMESTIC VIOLENCE by the way all gun control laws come from Article 4 sec 4,NOT,,
12698,83343,@USER Cool!   And that’s the way it SHOULD be!!!!,NOT,,
13147,92199,Lying to the FBI is a crime @USER @USER @USER @USER @USER @USER @USER #MAGA #MAGAts URL,NOT,,
8092,61771,@USER She is an ALEC puppet. If they don’t move the string on her back that works her mouth then she does nothing.,OFF,TIN,IND
8166,37849,@USER Bull,NOT,,
6529,34942,@USER Bigly....lol.....bigly? He didnt won...he was elected by the people of the united states ahole...what he'll are you referring to? Antifa fools that get their asses kicked...vagina hats..lol pathetic ass,OFF,TIN,GRP
3324,29281,@USER Hey nut job. We’re not a democracy. You actually awake in high school?,NOT,,
8762,71603,@USER The liberals are really displaying hate &amp; their message of division. Republicans really need to take advantage of this by welcoming the disgusted democrats that had enough with their party &amp; want a solid policy &amp; no more insults.,OFF,TIN,GRP
576,88561,"@USER @USER She's right, she's not one of,"" she is ""the one and only.""""",NOT,,
8788,48593,@USER @USER @USER If any left leaning freak attacks me I will attack back. But so many conservatives are just compliant. Happy with just bitching and complaining. How can we fire people up. The left has got energy. Lots of it. And if things don’t change. We’re going to loose.,OFF,TIN,GRP
7823,98344,@USER @USER for your encore say that every other western country that’s all but eliminated mass shootings through effective gun control are lying too... it would be fitting,OFF,TIN,GRP
8914,25980,@USER @USER @USER But under #Trump they agreed to take him back to Germany. So thank you @USER !!,NOT,,
2454,60855,@USER Me bro,NOT,,
4039,16437,@USER As if a liberal beta male could engage in sex with a straight female.,OFF,TIN,OTH
7702,90092,@USER Nah. Did you see his sideline out burst Sunday? He is a me first player and only cares about his stats. We don’t need him,NOT,,
473,25407,@USER Bono is gone to the dark side ..Globalism,NOT,,
11698,81841,@USER totally agree with you with the double standard.  Why is there always a sexist argument when it involves Serena.She is not the shining light of the WTA.  Carlos was just doing his job.  Serena smashed her racket and had three audible obscenities against Ramos. Shrug.,NOT,,
13229,34461,@USER @USER @USER How much lonely she is and how much she misses her azeez dost and how much she needs that touch to comfort her restless head right now is all evident in this one freaking scene! Bow to these amazing actors💕 #JenShad is major actors and couple goals💕🔥 #AdiYa #Bepannaah,NOT,,
6738,46810,@USER @USER @USER @USER @USER @USER URL  it's been widely reported... this is just one source.  only those with a vested interest in the status quo would willfully ignore the issue.,NOT,,
2741,63892,@USER @USER But he is a dildo!,OFF,TIN,IND
5074,58219,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Jesus inherited the sinful genes from sinful Mary. It was in Jesus blood to commit sin.,NOT,,
3316,73494,@USER A woman who assisted in the rape of a child should never see freedom. PERIOD!,NOT,,
12395,87249,@USER I wonder why you needed to bring up this point when I didn't mention anything about that. But it seems like you are uncomfortable talking about race.,NOT,,
9543,12897,@USER I blame @USER for inciting violence and she should be held accountable! She is a despicable disgrace.,OFF,TIN,IND
1674,87838,@USER And there I was thinking I couldn't like you any more than I already did... Brilliant. 😀❤️💉❤️😀,NOT,,
618,35887,@USER I feel as guys we rush into something because of how a girls looks. Without really knowing how she is. And once having her. Knowing her for who she is and realizing you dont want that without thinking of the implications or damage it can do to the girls mind.,NOT,,
3391,13566,Democrat can't even compete w @USER #MAGA URL,OFF,TIN,IND
6758,79883,@USER The @USER are currently polling 6% Chuka. Khan will lose London to the Tories at next mayoral election. But that’s the aim of the Blairite cosplaying Tories. Keep the Conservatives in power stop any real alternative to the Financial services 2nd British Empire gaining power. URL,NOT,,
572,70525,@USER Poor Baby.  This is why you and your entire network CAN NOT be trusted.    The only people still watching CNN are brainwashed liberals and demonrats. URL,OFF,TIN,GRP
2955,20927,@USER @USER @USER And Republicans wanted moderates when obama was president and we go the way liberals Kagan and Sotomayer,NOT,,
5161,53127,@USER wow you are so beautiful ayumi,NOT,,
5480,66659,(Verge of collapse)The breaking of a wave cannot explain the whole sea.🤔I move too fast and break things. But i have always told myself Unless you are breaking… URL,NOT,,
7738,38109,@USER what the fuck do you gain from posting on your private instead of your public,NOT,,
947,27631,@USER WAPO what an idiot comment you are a disgrace to journalism VERY SAD,OFF,TIN,IND
11018,45543,@USER ugh love you gamecocks stay safe and come home to us soon ❤️,NOT,,
8119,71016,@USER I completely agree!  We can uphold the second amendment AND have common sense gun control.  I’m a responsible gun owner.  But no citizen needs military grade weapons or high capacity magazines.  To find the problem:  follow the $!,NOT,,
2008,52495,@USER @USER Sorry you are having issues. Please send an email to feedback@USER with a description of your issue and the email address associated with your account. Thanks.,NOT,,
1028,64189,-____-  No other 1st world country has bullshit like this because they don't have BULLSHIT problems like this  Fuck the gun industry and fuck the dipshits enabling them preventing sensible gun control  URL,OFF,TIN,GRP
9125,41807,@USER @USER You are funny 😂 URL,NOT,,
2742,80653,#TuesdayThoughts  Seems like Twatter has released the Kraken on Conservatives posting today. WONDER WHY? URL,NOT,,
10615,43409,@USER @USER @USER @USER @USER @USER @USER @USER This sounds as relevant as the march in Mumbai by the woke snowflakes for Gun Control😂. Abortion in India is legal and only the woman's choice is required. Take your circus elsewhere. Instead take up the issue of oppression of Hindus in India. This is at least relevant.,OFF,TIN,OTH
2545,40752,@USER @USER @USER @USER ☝️ this is why Conservatives and law abiding citizens don't come to the table about gun control. It not about lunatics like this guy that should no longer own weapons. Its about removing all guns slowly but surely from everyone regardless of who they are. URL,OFF,TIN,GRP
9561,18594,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Has to with the revelations of what the liberals have been up to. URL,NOT,,
12479,72850,@USER Eric Holder was the perfect Att Gen for the OBama administration. Not an ounce of human decency in his bones.,NOT,,
1456,54306,"@USER @USER Hillary? Why is she on the social studies curriculum? Why? Who is she to be in any curriculum?  She is nothing!  I'm shocked that she was in any curriculum, but I am very happy to see that she is OUT!""  (I am so glad she's nowhere near the @USER",OFF,TIN,IND
12495,43919,. . . And we wonder why conservatives who work for Twitter fear saying so . . URL,NOT,,
10951,28584,@USER you know Dan I used to think you were a pretty competent newsman now I can clearly see you are nothing more then a paid whore who sells himself and his once stellar reputation. Trying to be relevant again ? URL,NOT,,
867,89421,@USER @USER @USER @USER @USER She is going to be heartbroken to see you and you 6 followers go. Bot bot bot.,NOT,,
12224,85515,@USER God that's the one we should have used to remove Holder.,NOT,,
1441,70789,Mark Judge doesn't want to lie for KAVANAUGH. #MAGA @USER URL,NOT,,
6592,37864,@USER Anti abortion is not about the sanctity of life. Its about the subjugation of women. If it was about life then the paradox you point out would not exist and gun control would be pursued.,NOT,,
2639,61023,@USER @USER @USER Wow !!! no wonder the Liberals only got worse as a party of bullies to women...??? no accountability.,OFF,TIN,OTH
10593,19123,@USER She is a Skrull. Enemy of The Kree. The Kree are who gave Carol her powers and whose uniform she is wearing in the first few moments of the trailer.,NOT,,
2949,67221,@USER @USER Congress tried Secret Shah Bano strategy for #TripleTalaq. Then they openly took a position to appease Muslim conservatives for votes. @USER trying to confuse now about their position on it again for votes. PPL of India are smarter now to know their real reason!,NOT,,
6982,91189,@USER @USER agreed fuck that guy,NOT,,
1145,33064,@USER @USER @USER We've had a good conversation. Many will condemnations me for my part from both sides. It does not matter. This is what gun control is about. Discussion.,NOT,,
4990,48639,@USER now we know tesco's stance on gun control,NOT,,
6939,23573,@USER Come on @USER  you can do better. This has nothing to do with your Agents. Any subscriber with cash can sell or buy cash at whatever rate. You are just a conduit. Its the Law of Demand and Supply at play.,NOT,,
8975,42454,@USER @USER Find a voice? The voice they have is their choice to say no to having unprotected sex ... it's not just pregnancy women need to worry about it's STDS and HIV also ... Being responsible for your sexual safety is important ... In the age of #metoo you should already know this.,OFF,TIN,IND
10451,29446,@USER About the same price as where you are though; but probably way more space.,NOT,,
11194,57039,@USER M'eh.. I bet you are easily the prettiest thing there! 😉😁,NOT,,
10553,15485,@USER @USER And i can show you plenty of lefties like antifa getting pummeled like the weak punks they are lol,OFF,TIN,GRP
4157,19179,@USER @USER @USER @USER as of right now my only solid position is that the NRA has become far too influential in politics and as a result they have delayed the desire for gun control for about 20 years.,OFF,TIN,IND
7931,73300,@USER @USER @USER @USER He totally dodged the question about how he is making millions of dollars off Stormy Daniels while she still has to strip to make a living. He is unethical.,OFF,TIN,IND
2547,30846,@USER Wtf aren’t they treating antifa as terrorism?,OFF,TIN,GRP
11048,85211,@USER @USER I was at the laundromat just reading his comments last night 😂 he was basically saying porch monkey was a term used years ago and “liberals” made it into a racist thing and it all just snowballed from there lol,NOT,,
3382,95934,@USER In easy and a brat you are-  Nothing ITS LEGIT NOTHING,NOT,,
4748,61095,@USER @USER you’re my forever favorite third wheeling 😩,NOT,,
4054,58472,@USER Why cause you are unwilling to look at the science?  URL,NOT,,
6168,80777,@USER Destroy America is more the 24/7 chant from ALL democrats including Hillary.,OFF,TIN,GRP
8937,44067,"@USER After watching the entire match and controversy Serena is lucky she didn't get a match misconduct. She is so upset that the ref. Would give her a warning for her coach coaching"" which he even admitted to. The ref did nothing wrong he enforced the rule and Serena did it like it.""",OFF,TIN,IND
8920,70669,@USER @USER 2 Thoughts:  1) Bad Aim 2) Waiting for Libs to scream:    “Gun Control”,NOT,,
10349,42319,@USER What about the life after they are born.  Like gun control. Health insurance for everyone.,NOT,,
11964,41962,@USER Isn't there a Statute of Limitations on sexual assault? Hurry up and confirm #BrettKavanaugh before the Liberals invent some other accusations.,NOT,,
10942,36253,@USER The game sucks,OFF,TIN,OTH
10746,17971,@USER Isn’t the coalition for gun control headed up by the lady who was turned down for a job because she was a bully?,OFF,TIN,IND
12209,27889,@USER hell yeah it FUCKIG is,OFF,TIN,IND
3180,57462,@USER Antifa has never attacked voters by the way. That’s a full on lie. You have the informational diet of thinking cotton candy is a vegetable. You might want to reflect on that.,NOT,,
10848,61616,@USER Behold all the conservatives who deliberately ignore the fact that the OK gesture USED TO BE benign but now is co-opted by racists to signal they're down with white supremacy. Much like swastikas were benign in Asian countries (&amp; still are) but were co-opted &amp; ruined by Nazis.,OFF,TIN,IND
11071,62473,@USER @USER #MAGA #KAG #TRUMP2020 #TRUMP=HERO #TRUMP=LEADER #WELUVTRUMP 🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸 URL,NOT,,
1917,39784,@USER @USER WHOS  SICK  OF  INTITLED   RACISTS?,OFF,TIN,GRP
3716,14223,@USER @USER Is no one considering the fact that Russia might be using Antifa to spread black propaganda??? Remember the Berlin Wall???,OFF,TIN,OTH
